variant,cell,z,encoder,epochs,params_M,flops_G,fps,mAP50,mAP50_95,da_mIoU,da_fg,lane_mIoU,lane_fg,peak_gpu_mem_mib,final_train_loss,train_wall_min,seed,source,git_commit
r2,r2u_z16,16,ebase,4,0.2014,1.0796,407.38,0.2411,0.0728,0.8169,0.7146,0.5761,0.1765,2666,0.2505,26,0,reused:phase4a-sanity,63fa17bacbbf34778c6353364e6652e2f462688e
r2,l14f1_z16,16,ebase,20,0.2019,1.6391,387.07,0.3612,0.1292,0.8533,0.7678,0.5988,0.2192,2920,0.2112,153,0,trained,f775718b179d528adc6199a5ec23185407d64cca
