variant,cell,z,encoder,epochs,params_M,flops_G,fps,mAP50,mAP50_95,da_mIoU,da_fg,lane_mIoU,lane_fg,peak_gpu_mem_mib,final_train_loss,train_wall_min,seed,source,git_commit
r2,r2u_z16,16,ebase,4,0.2014,1.0796,407.38,0.2411,0.0728,0.8169,0.7146,0.5761,0.1765,2666,0.2505,26,0,reused:phase4a-sanity,63fa17bacbbf34778c6353364e6652e2f462688e
r2,danc_z16,16,ebase,4,0.2014,1.0796,422.01,0.3954,0.1491,0.8220,0.7219,0.5756,0.1764,2376,0.2492,27,0,trained,5e1d25a8936e8c9caa4fb412a89adc6135d730c5
r2,dp2a_z16,16,ebase,4,0.2020,1.1091,240.90,0.3507,0.1267,0.8228,0.7231,0.5739,0.1743,2793,0.2333,30,0,trained,7c41506a99e26e9ea3b281e0e26566a3418f15e5
