variant,cell,z,encoder,epochs,params_M,flops_G,fps,mAP50,mAP50_95,da_mIoU,da_fg,lane_mIoU,lane_fg,peak_gpu_mem_mib,final_train_loss,train_wall_min,seed,source,git_commit
r2,r2u_z16,16,ebase,4,0.2014,1.0796,407.38,0.2411,0.0728,0.8169,0.7146,0.5761,0.1765,2666,0.2505,26,0,reused:phase4a-sanity,63fa17bacbbf34778c6353364e6652e2f462688e
r2,l14up_z16,16,ebase,4,0.2014,1.6129,365.83,0.2523,0.0762,0.8265,0.7283,0.5836,0.1894,2868,0.2486,29,0,trained,d04f7d44379fdfb381b01c3b68b63e0388650f88
r2,l14f1_z16,16,ebase,4,0.2019,1.6391,410.36,0.2402,0.0741,0.8326,0.7370,0.5839,0.1916,2920,0.2462,29,0,trained,d04f7d44379fdfb381b01c3b68b63e0388650f88
r2,lch64_z16,16,ebase,4,0.2338,1.4933,413.64,0.2373,0.0723,0.8272,0.7292,0.5765,0.1778,2748,0.2499,27,0,trained,d04f7d44379fdfb381b01c3b68b63e0388650f88
