cell,variant,task,fg_iou,precision,recall,pred_over_gt_area,blockfill_1over8_iou,iou_minus_blockfill,erode1_survival,erode2_survival,mean_gt_px,n_images,fg_iou_tol0,recall_tol0,fg_iou_tol1,recall_tol1,fg_iou_tol2,recall_tol2,fg_iou_tol4,recall_tol4,fg_iou_tol8,recall_tol8
r0_z16,r0,lane,0.1845,0.2049,0.6706,3.5457,0.1854,-0.0009,0.0107,0.0007,2089.3,300,0.1845,0.6706,0.3796,0.7424,0.4529,0.7843,0.4147,0.8291,0.2857,0.8688
r0_z16,r0,da,0.7699,0.7795,0.9841,1.3191,0.8801,-0.1103,0.9574,0.9156,41464.9,300,0.7699,0.9841,0.7952,0.9872,0.8128,0.9893,0.8228,0.9919,0.7951,0.9949
r2_z16,r2,lane,0.1843,0.2036,0.6886,3.7341,0.1854,-0.0012,0.0107,0.0007,2089.3,300,0.1843,0.6886,0.3821,0.756,0.4598,0.7956,0.4249,0.8394,0.2952,0.8805
r2_z16,r2,da,0.7555,0.7615,0.9886,1.3729,0.8801,-0.1246,0.9574,0.9156,41464.9,300,0.7555,0.9886,0.7806,0.9912,0.7981,0.9928,0.8087,0.9945,0.7829,0.9959
r2_z32,r2,lane,0.188,0.2073,0.6887,3.5764,0.1854,0.0026,0.0107,0.0007,2089.3,300,0.188,0.6887,0.3886,0.7565,0.4635,0.7953,0.4218,0.8368,0.2904,0.8763
r2_z32,r2,da,0.7718,0.7801,0.9859,1.3222,0.8801,-0.1084,0.9574,0.9156,41464.9,300,0.7718,0.9859,0.7968,0.9889,0.8137,0.9908,0.8217,0.993,0.791,0.9951
r2_z128,r2,lane,0.1882,0.2046,0.7095,3.7787,0.1854,0.0028,0.0107,0.0007,2089.3,300,0.1882,0.7095,0.3937,0.7773,0.4719,0.816,0.4314,0.8579,0.2975,0.8994
r2_z128,r2,da,0.7648,0.7702,0.9907,1.3542,0.8801,-0.1153,0.9574,0.9156,41464.9,300,0.7648,0.9907,0.7901,0.9932,0.8072,0.9947,0.8161,0.9963,0.7879,0.9978
