cell,variant,task,fg_iou,precision,recall,pred_over_gt_area,blockfill_1over8_iou,iou_minus_blockfill,erode1_survival,erode2_survival,mean_gt_px,n_images,fg_iou_tol0,recall_tol0,fg_iou_tol1,recall_tol1,fg_iou_tol2,recall_tol2,fg_iou_tol4,recall_tol4,fg_iou_tol8,recall_tol8
l14f1_z16,l14f1_z16_e20,lane,0.2074,0.2294,0.7034,3.4134,0.1854,0.022,0.0107,0.0007,2089.3,300,0.2074,0.7034,0.4122,0.7822,0.45,0.8225,0.375,0.8635,0.2581,0.9056
l14f1_z16,l14f1_z16_e20,da,0.7645,0.7711,0.9873,1.3424,0.8801,-0.1156,0.9574,0.9156,41464.9,300,0.7645,0.9873,0.7893,0.9901,0.8061,0.9917,0.8156,0.9934,0.7888,0.995
