variant,cell,z,encoder,epochs,params_M,flops_G,fps,mAP50,mAP50_95,da_mIoU,da_fg,lane_mIoU,lane_fg,peak_gpu_mem_mib,final_train_loss,train_wall_min,seed,source,git_commit
r2,r2_z16,16,ebase,20,0.2014,1.0796,114.92,0.3543,0.1273,0.8488,0.7612,0.5847,0.1943,2666,0.2150,133,0,reused:phase4A-results,b48edbd2f4a4bb5ca70e2fa1fae8bcbd52be27b4
r2,danc_z16,16,ebase,20,0.2014,1.0796,430.25,0.4982,0.2171,0.8567,0.7730,0.5824,0.1910,2376,0.2833,132,1,trained,9974d392dd480d3890b6370a9290e517754daa7e
r2,danc_z16,16,ebase,20,0.2014,1.0796,249.10,0.4960,0.2142,0.8555,0.7711,0.5813,0.1893,2666,0.2136,NA,2,resumed_from_ep19,d3ea6d5afe3f4a885620a012e6593b6c30cfee3b
