cell,variant,task,fg_iou,precision,recall,pred_over_gt_area,blockfill_1over8_iou,iou_minus_blockfill,erode1_survival,erode2_survival,mean_gt_px,n_images,fg_iou_tol0,recall_tol0,fg_iou_tol1,recall_tol1,fg_iou_tol2,recall_tol2,fg_iou_tol4,recall_tol4,fg_iou_tol8,recall_tol8
l14up_z16,l14up_z16,lane,0.1756,0.2073,0.5765,3.0861,0.1854,-0.0098,0.0107,0.0007,2089.3,300,0.1756,0.5765,0.3429,0.6501,0.3875,0.6953,0.3389,0.7484,0.2378,0.8065
l14up_z16,l14up_z16,da,0.7273,0.7343,0.9877,1.4384,0.8801,-0.1529,0.9574,0.9156,41464.9,300,0.7273,0.9877,0.7511,0.9906,0.7685,0.9924,0.7823,0.9947,0.7677,0.9967
l14f1_z16,l14f1_z16,lane,0.1807,0.2019,0.6396,3.6243,0.1854,-0.0047,0.0107,0.0007,2089.3,300,0.1807,0.6396,0.3585,0.7161,0.4016,0.7627,0.351,0.8152,0.2525,0.8721
l14f1_z16,l14f1_z16,da,0.7336,0.7427,0.9848,1.4184,0.8801,-0.1465,0.9574,0.9156,41464.9,300,0.7336,0.9848,0.7564,0.9884,0.7725,0.9907,0.7834,0.9934,0.7632,0.9956
lch64_z16,lch64_z16,lane,0.1626,0.1881,0.5898,3.461,0.1854,-0.0228,0.0107,0.0007,2089.3,300,0.1626,0.5898,0.329,0.6597,0.3932,0.707,0.3707,0.7637,0.2653,0.8207
lch64_z16,lch64_z16,da,0.7329,0.7409,0.9863,1.4168,0.8801,-0.1472,0.9574,0.9156,41464.9,300,0.7329,0.9863,0.7564,0.9896,0.7733,0.9918,0.7866,0.9943,0.7702,0.9966
