[stage B] ep 1 step 2600/4366 loss 0.2278 det 0.1073 da 0.0623 lane 0.0582 budget 0.0000  108ms/step
[stage B] ep 1 step 2650/4366 loss 0.2278 det 0.1073 da 0.0622 lane 0.0582 budget 0.0000  108ms/step
[stage B] ep 1 step 2700/4366 loss 0.2277 det 0.1073 da 0.0622 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 2750/4366 loss 0.2277 det 0.1073 da 0.0622 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 2800/4366 loss 0.2277 det 0.1073 da 0.0622 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 2850/4366 loss 0.2277 det 0.1073 da 0.0622 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 2900/4366 loss 0.2278 det 0.1073 da 0.0623 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 2950/4366 loss 0.2277 det 0.1073 da 0.0622 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 3000/4366 loss 0.2278 det 0.1073 da 0.0623 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 3050/4366 loss 0.2278 det 0.1073 da 0.0623 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 3100/4366 loss 0.2277 det 0.1073 da 0.0623 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 3150/4366 loss 0.2277 det 0.1073 da 0.0622 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 3200/4366 loss 0.2277 det 0.1073 da 0.0622 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 3250/4366 loss 0.2277 det 0.1073 da 0.0622 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 3300/4366 loss 0.2277 det 0.1073 da 0.0622 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 3350/4366 loss 0.2277 det 0.1073 da 0.0622 lane 0.0582 budget 0.0000  109ms/step
[stage B] ep 1 step 3400/4366 loss 0.2276 det 0.1073 da 0.0622 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 3450/4366 loss 0.2277 det 0.1073 da 0.0623 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 3500/4366 loss 0.2277 det 0.1073 da 0.0623 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 3550/4366 loss 0.2277 det 0.1073 da 0.0623 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 3600/4366 loss 0.2277 det 0.1073 da 0.0623 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 3650/4366 loss 0.2277 det 0.1073 da 0.0623 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 3700/4366 loss 0.2277 det 0.1073 da 0.0623 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 3750/4366 loss 0.2277 det 0.1073 da 0.0623 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 3800/4366 loss 0.2277 det 0.1073 da 0.0623 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 3850/4366 loss 0.2276 det 0.1073 da 0.0623 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 3900/4366 loss 0.2276 det 0.1073 da 0.0622 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 3950/4366 loss 0.2276 det 0.1072 da 0.0622 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 4000/4366 loss 0.2275 det 0.1072 da 0.0622 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 4050/4366 loss 0.2275 det 0.1072 da 0.0622 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 4100/4366 loss 0.2275 det 0.1072 da 0.0622 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 4150/4366 loss 0.2275 det 0.1072 da 0.0622 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 4200/4366 loss 0.2275 det 0.1072 da 0.0622 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 4250/4366 loss 0.2275 det 0.1072 da 0.0622 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 4300/4366 loss 0.2275 det 0.1072 da 0.0621 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 step 4350/4366 loss 0.2275 det 0.1072 da 0.0621 lane 0.0581 budget 0.0000  109ms/step
[stage B] ep 1 DONE avg_loss=0.2275 saved experiments/expI_kd_dynamic/fairD_B/checkpoint.pt
[stage B] ep 2 step 50/4366 loss 0.2286 det 0.1067 da 0.0644 lane 0.0575 budget 0.0000  120ms/step
[stage B] ep 2 step 100/4366 loss 0.2270 det 0.1066 da 0.0622 lane 0.0581 budget 0.0000  116ms/step
[stage B] ep 2 step 150/4366 loss 0.2263 det 0.1070 da 0.0618 lane 0.0575 budget 0.0000  115ms/step
[stage B] ep 2 step 200/4366 loss 0.2263 det 0.1067 da 0.0616 lane 0.0580 budget 0.0000  114ms/step
[stage B] ep 2 step 250/4366 loss 0.2261 det 0.1070 da 0.0611 lane 0.0579 budget 0.0000  113ms/step
[stage B] ep 2 step 300/4366 loss 0.2260 det 0.1069 da 0.0613 lane 0.0578 budget 0.0000  113ms/step
[stage B] ep 2 step 350/4366 loss 0.2266 det 0.1070 da 0.0616 lane 0.0581 budget 0.0000  112ms/step
[stage B] ep 2 step 400/4366 loss 0.2265 det 0.1069 da 0.0616 lane 0.0579 budget 0.0000  112ms/step
[stage B] ep 2 step 450/4366 loss 0.2262 det 0.1069 da 0.0616 lane 0.0577 budget 0.0000  112ms/step
[stage B] ep 2 step 500/4366 loss 0.2264 det 0.1070 da 0.0617 lane 0.0578 budget 0.0000  112ms/step
[stage B] ep 2 step 550/4366 loss 0.2265 det 0.1069 da 0.0617 lane 0.0579 budget 0.0000  112ms/step
[stage B] ep 2 step 600/4366 loss 0.2264 det 0.1068 da 0.0616 lane 0.0579 budget 0.0000  111ms/step
[stage B] ep 2 step 650/4366 loss 0.2260 det 0.1068 da 0.0615 lane 0.0577 budget 0.0000  111ms/step
[stage B] ep 2 step 700/4366 loss 0.2259 det 0.1068 da 0.0615 lane 0.0576 budget 0.0000  111ms/step
[stage B] ep 2 step 750/4366 loss 0.2260 det 0.1068 da 0.0615 lane 0.0577 budget 0.0000  111ms/step
[stage B] ep 2 step 800/4366 loss 0.2259 det 0.1069 da 0.0614 lane 0.0576 budget 0.0000  111ms/step
[stage B] ep 2 step 850/4366 loss 0.2256 det 0.1069 da 0.0612 lane 0.0575 budget 0.0000  111ms/step
[stage B] ep 2 step 900/4366 loss 0.2257 det 0.1069 da 0.0613 lane 0.0575 budget 0.0000  111ms/step
[stage B] ep 2 step 950/4366 loss 0.2257 det 0.1068 da 0.0613 lane 0.0575 budget 0.0000  111ms/step
[stage B] ep 2 step 1000/4366 loss 0.2257 det 0.1068 da 0.0613 lane 0.0576 budget 0.0000  111ms/step
[stage B] ep 2 step 1050/4366 loss 0.2257 det 0.1068 da 0.0612 lane 0.0576 budget 0.0000  111ms/step
[stage B] ep 2 step 1100/4366 loss 0.2258 det 0.1068 da 0.0612 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 1150/4366 loss 0.2258 det 0.1068 da 0.0612 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 1200/4366 loss 0.2257 det 0.1069 da 0.0611 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 1250/4366 loss 0.2256 det 0.1069 da 0.0611 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 1300/4366 loss 0.2258 det 0.1069 da 0.0612 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 1350/4366 loss 0.2257 det 0.1068 da 0.0612 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 1400/4366 loss 0.2256 det 0.1068 da 0.0612 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 1450/4366 loss 0.2257 det 0.1068 da 0.0613 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 1500/4366 loss 0.2258 det 0.1068 da 0.0613 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 1550/4366 loss 0.2257 det 0.1068 da 0.0613 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 1600/4366 loss 0.2257 det 0.1068 da 0.0613 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 1650/4366 loss 0.2257 det 0.1068 da 0.0613 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 1700/4366 loss 0.2256 det 0.1068 da 0.0613 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 1750/4366 loss 0.2257 det 0.1068 da 0.0613 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 1800/4366 loss 0.2257 det 0.1068 da 0.0613 lane 0.0575 budget 0.0000  110ms/step
[stage B] ep 2 step 1850/4366 loss 0.2258 det 0.1068 da 0.0614 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 1900/4366 loss 0.2259 det 0.1068 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 1950/4366 loss 0.2258 det 0.1068 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2000/4366 loss 0.2260 det 0.1068 da 0.0616 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2050/4366 loss 0.2259 det 0.1068 da 0.0616 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2100/4366 loss 0.2260 det 0.1068 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2150/4366 loss 0.2259 det 0.1068 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2200/4366 loss 0.2259 det 0.1068 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2250/4366 loss 0.2259 det 0.1068 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2300/4366 loss 0.2259 det 0.1068 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2350/4366 loss 0.2260 det 0.1068 da 0.0616 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2400/4366 loss 0.2260 det 0.1068 da 0.0616 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2450/4366 loss 0.2260 det 0.1068 da 0.0616 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2500/4366 loss 0.2260 det 0.1068 da 0.0616 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2550/4366 loss 0.2260 det 0.1068 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2600/4366 loss 0.2260 det 0.1068 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2650/4366 loss 0.2259 det 0.1069 da 0.0615 lane 0.0575 budget 0.0000  110ms/step
[stage B] ep 2 step 2700/4366 loss 0.2260 det 0.1069 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2750/4366 loss 0.2259 det 0.1069 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2800/4366 loss 0.2259 det 0.1069 da 0.0614 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2850/4366 loss 0.2259 det 0.1069 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2900/4366 loss 0.2260 det 0.1069 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 2950/4366 loss 0.2260 det 0.1069 da 0.0615 lane 0.0575 budget 0.0000  110ms/step
[stage B] ep 2 step 3000/4366 loss 0.2259 det 0.1069 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 3050/4366 loss 0.2260 det 0.1069 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 3100/4366 loss 0.2260 det 0.1069 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 3150/4366 loss 0.2260 det 0.1069 da 0.0615 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 3200/4366 loss 0.2260 det 0.1069 da 0.0615 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 3250/4366 loss 0.2260 det 0.1069 da 0.0615 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 3300/4366 loss 0.2260 det 0.1069 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 3350/4366 loss 0.2260 det 0.1069 da 0.0615 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 3400/4366 loss 0.2259 det 0.1069 da 0.0614 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 3450/4366 loss 0.2259 det 0.1069 da 0.0614 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 3500/4366 loss 0.2259 det 0.1069 da 0.0613 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 3550/4366 loss 0.2259 det 0.1069 da 0.0614 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 3600/4366 loss 0.2259 det 0.1069 da 0.0613 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 3650/4366 loss 0.2259 det 0.1069 da 0.0613 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 3700/4366 loss 0.2259 det 0.1069 da 0.0613 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 3750/4366 loss 0.2259 det 0.1069 da 0.0613 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 3800/4366 loss 0.2259 det 0.1069 da 0.0613 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 3850/4366 loss 0.2259 det 0.1069 da 0.0614 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 3900/4366 loss 0.2259 det 0.1069 da 0.0614 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 3950/4366 loss 0.2259 det 0.1069 da 0.0614 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 4000/4366 loss 0.2259 det 0.1069 da 0.0614 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 4050/4366 loss 0.2260 det 0.1069 da 0.0614 lane 0.0576 budget 0.0000  110ms/step
[stage B] ep 2 step 4100/4366 loss 0.2260 det 0.1069 da 0.0614 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 4150/4366 loss 0.2261 det 0.1070 da 0.0614 lane 0.0577 budget 0.0000  110ms/step
[stage B] ep 2 step 4200/4366 loss 0.2260 det 0.1070 da 0.0614 lane 0.0577 budget 0.0000  111ms/step
[stage B] ep 2 step 4250/4366 loss 0.2260 det 0.1069 da 0.0614 lane 0.0577 budget 0.0000  111ms/step
[stage B] ep 2 step 4300/4366 loss 0.2260 det 0.1069 da 0.0614 lane 0.0577 budget 0.0000  111ms/step
[stage B] ep 2 step 4350/4366 loss 0.2260 det 0.1069 da 0.0614 lane 0.0577 budget 0.0000  111ms/step
[stage B] ep 2 DONE avg_loss=0.2260 saved experiments/expI_kd_dynamic/fairD_B/checkpoint.pt
