variant,cell,z,encoder,epochs,params_M,flops_G,fps,mAP50,mAP50_95,da_mIoU,da_fg,lane_mIoU,lane_fg,peak_gpu_mem_mib,final_train_loss,train_wall_min,seed,source,git_commit
r2,z16_old,16,ebase,4,0.2014,1.0796,436.30,0.3879,0.1471,0.8124,0.7084,0.5730,0.1722,NA,0.2502,26,0,trained,d7175c42e66ff256430c1467a441ba4072b79f2f
r2,z16_km,16,ebase,4,0.2014,1.0796,146.65,0.3917,0.1504,0.8268,0.7289,0.5755,0.1762,NA,0.2493,26,0,trained,d7175c42e66ff256430c1467a441ba4072b79f2f
r2,z32_old,32,ebase,4,0.2157,1.2238,365.86,0.4161,0.1640,0.8277,0.7302,0.5775,0.1799,NA,0.2456,27,0,trained,d7175c42e66ff256430c1467a441ba4072b79f2f
r2,z32_km,32,ebase,4,0.2157,1.2238,382.41,0.4035,0.1573,0.8211,0.7206,0.5742,0.1745,NA,0.2464,27,0,trained,d7175c42e66ff256430c1467a441ba4072b79f2f
