variant,cell,z,encoder,epochs,params_M,flops_G,fps,mAP50,mAP50_95,da_mIoU,da_fg,lane_mIoU,lane_fg,peak_gpu_mem_mib,final_train_loss,train_wall_min,seed,source,git_commit
r2,combo4_z16,16,ebase,4,0.2019,1.6391,386.96,0.3984,0.1517,0.8200,0.7191,0.5861,0.1950,NA,0.2474,30,0,trained,825e546708d7d04881d3a335c03f67f53d9596df
r2,lch72_z16,16,ebase,4,0.2448,1.6336,399.65,0.4084,0.1591,0.8189,0.7176,0.5797,0.1831,NA,0.2474,28,0,trained,825e546708d7d04881d3a335c03f67f53d9596df
r2,combo20_z16,16,ebase,20,0.2019,1.6391,360.66,0.5047,0.2210,0.8551,0.7705,0.5962,0.2149,NA,0.2099,144,0,trained,825e546708d7d04881d3a335c03f67f53d9596df
r2,combo20_z16,16,ebase,20,0.2019,1.6391,419.16,0.4931,0.2131,0.8548,0.7700,0.5938,0.2112,NA,0.2108,144,1,trained,bb91e5c255ae1a3cfa1cc5b1941aebafe1c905be
r2,combo20_z16,16,ebase,20,0.2019,1.6391,377.94,0.4964,0.2159,0.8551,0.7705,0.5952,0.2132,NA,0.2100,146,2,trained,bb91e5c255ae1a3cfa1cc5b1941aebafe1c905be
