encoder,z,stem,stages,epochs,params_M,flops_G,fps,mAP50,mAP50_95,da_mIoU,da_fg,lane_mIoU,lane_fg,peak_gpu_mem_mib,final_train_loss,train_wall_min,seed,source,git_commit
midL,32,15,32-64-88-120,20,0.1860,1.1603,288.08,0.3152,0.1109,0.8532,0.7676,0.5862,0.1972,2424,0.2144,132,0,trained,d34c6beca7332a9a526321e15935f036fb34ee29
midM,32,19,40-80-120-160,20,0.2852,1.5249,381.65,0.3462,0.1279,0.8572,0.7737,0.5900,0.2037,3040,0.2071,152,0,trained,d34c6beca7332a9a526321e15935f036fb34ee29
