[stage A] ep 5 step 100/625 loss 0.3047 det 0.1264 da 0.0984 lane 0.0798 budget 0.0000  117ms/step
[stage A] ep 5 step 150/625 loss 0.3056 det 0.1264 da 0.0993 lane 0.0799 budget 0.0000  116ms/step
[stage A] ep 5 step 200/625 loss 0.3065 det 0.1267 da 0.1005 lane 0.0794 budget 0.0000  116ms/step
[stage A] ep 5 step 250/625 loss 0.3062 det 0.1266 da 0.1003 lane 0.0794 budget 0.0000  115ms/step
[stage A] ep 5 step 300/625 loss 0.3055 det 0.1265 da 0.0998 lane 0.0792 budget 0.0000  115ms/step
[stage A] ep 5 step 350/625 loss 0.3052 det 0.1264 da 0.0999 lane 0.0789 budget 0.0000  115ms/step
[stage A] ep 5 step 400/625 loss 0.3051 det 0.1264 da 0.1000 lane 0.0787 budget 0.0000  115ms/step
[stage A] ep 5 step 450/625 loss 0.3049 det 0.1262 da 0.1002 lane 0.0785 budget 0.0000  115ms/step
[stage A] ep 5 step 500/625 loss 0.3041 det 0.1260 da 0.0999 lane 0.0783 budget 0.0000  115ms/step
[stage A] ep 5 step 550/625 loss 0.3038 det 0.1259 da 0.1000 lane 0.0779 budget 0.0000  115ms/step
[stage A] ep 5 step 600/625 loss 0.3036 det 0.1260 da 0.0997 lane 0.0780 budget 0.0000  115ms/step
[stage A] ep 5 DONE avg_loss=0.3035 saved experiments/expF_single_teacher/no_kd_10k10/checkpoint.pt
[stage A] ep 6 step 50/625 loss 0.2955 det 0.1245 da 0.0940 lane 0.0771 budget 0.0000  120ms/step
[stage A] ep 6 step 100/625 loss 0.2966 det 0.1249 da 0.0950 lane 0.0767 budget 0.0000  117ms/step
[stage A] ep 6 step 150/625 loss 0.2971 det 0.1249 da 0.0955 lane 0.0766 budget 0.0000  116ms/step
[stage A] ep 6 step 200/625 loss 0.2966 det 0.1249 da 0.0956 lane 0.0761 budget 0.0000  116ms/step
[stage A] ep 6 step 250/625 loss 0.2957 det 0.1248 da 0.0952 lane 0.0758 budget 0.0000  116ms/step
[stage A] ep 6 step 300/625 loss 0.2950 det 0.1247 da 0.0946 lane 0.0757 budget 0.0000  115ms/step
[stage A] ep 6 step 350/625 loss 0.2948 det 0.1246 da 0.0944 lane 0.0758 budget 0.0000  115ms/step
[stage A] ep 6 step 400/625 loss 0.2946 det 0.1245 da 0.0946 lane 0.0755 budget 0.0000  115ms/step
[stage A] ep 6 step 450/625 loss 0.2956 det 0.1245 da 0.0957 lane 0.0753 budget 0.0000  115ms/step
[stage A] ep 6 step 500/625 loss 0.2960 det 0.1246 da 0.0959 lane 0.0756 budget 0.0000  115ms/step
[stage A] ep 6 step 550/625 loss 0.2954 det 0.1244 da 0.0954 lane 0.0756 budget 0.0000  115ms/step
[stage A] ep 6 step 600/625 loss 0.2957 det 0.1244 da 0.0957 lane 0.0755 budget 0.0000  115ms/step
[stage A] ep 6 DONE avg_loss=0.2958 saved experiments/expF_single_teacher/no_kd_10k10/checkpoint.pt
[stage A] ep 7 step 50/625 loss 0.2853 det 0.1241 da 0.0910 lane 0.0702 budget 0.0000  122ms/step
[stage A] ep 7 step 100/625 loss 0.2876 det 0.1235 da 0.0920 lane 0.0721 budget 0.0000  119ms/step
