variant,cell,z_channels,effective_rank,erank_frac_of_z,top1_var,top4_var,top8_var,top16_var,top32_var,mean_abs_corr,dead_channels,chan_std_mean,chan_std_min,sparsity,act_abs_mean
r0,r0_z16,16,6.012190341949463,0.37576189637184143,0.4852752089500427,0.807338535785675,0.9203023910522461,1.0,1.0,0.547656238079071,0,0.52949458360672,0.1478818953037262,0.53328937292099,0.3966965675354004
r0,r0_z32,32,9.319828987121582,0.29124465584754944,0.4588415026664734,0.6857523322105408,0.8051185607910156,0.927687406539917,0.9999999403953552,0.4723670780658722,0,0.4692297577857971,0.19155029952526093,0.623694658279419,0.2895859181880951
r0,r0_z128,128,34.817073822021484,0.27200838923454285,0.21228072047233582,0.42065900564193726,0.5701813697814941,0.7080919742584229,0.8358054757118225,0.3993286192417145,0,0.38546210527420044,0.16281846165657043,0.7086391448974609,0.1882891207933426
