variant,cell,z,encoder,epochs,params_M,flops_G,fps,mAP50,mAP50_95,da_mIoU,da_fg,lane_mIoU,lane_fg,peak_gpu_mem_mib,final_train_loss,train_wall_min,seed,source,git_commit
r2rw,rw_z16,16,ebase,20,0.2014,1.0796,449.28,0.2589,0.0817,0.8526,0.7667,0.5872,0.1983,2375,0.1322,132,0,trained,34da830e0e44d2cd78be0943c33f5ddb4a0eee32
r2rw,rw_z32,32,ebase,20,0.2157,1.2238,407.63,0.2614,0.0826,0.8573,0.7738,0.5871,0.1988,2384,0.1303,132,0,trained,34da830e0e44d2cd78be0943c33f5ddb4a0eee32
