variant,cell,z,encoder,epochs,params_M,flops_G,fps,mAP50,mAP50_95,da_mIoU,da_fg,lane_mIoU,lane_fg,peak_gpu_mem_mib,final_train_loss,train_wall_min,seed,source,git_commit
r2,r2u_z16,16,ebase,4,0.2014,1.0796,407.38,0.2411,0.0728,0.8169,0.7146,0.5761,0.1765,2666,0.2505,26,0,reused:phase4a-sanity,63fa17bacbbf34778c6353364e6652e2f462688e
r2,r2u_z32,32,ebase,4,0.2157,1.2238,417.99,0.2496,0.0764,0.8262,0.7280,0.5767,0.1784,2384,0.2486,26,0,trained,35a04e8ff47c16ed5e59cecdc8ad1246836073c2
r3,r3tp_z16,16,ebase,4,0.2066,1.1452,191.31,0.2430,0.0725,0.8218,0.7217,0.5757,0.1773,2392,0.2479,26,0,trained,35a04e8ff47c16ed5e59cecdc8ad1246836073c2
r3,r3tp_z32,32,ebase,4,0.2117,1.1714,415.20,0.2544,0.0790,0.8124,0.7084,0.5769,0.1789,2392,0.2464,26,0,trained,35a04e8ff47c16ed5e59cecdc8ad1246836073c2
