[train] init from experiments/expI_kd_dynamic/fairD_C/checkpoint.pt: loaded 261/261 keys missing=0 unexpected=0
[train] stage=D adaptive=True params=0.235M
/home/mycode/ai_study/trac/training/train.py:138: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  running[k] = running.get(k, 0.0) + float(v)
[stage D] ep 1 step 2450/4366 loss 0.2378 det 0.1077 da 0.0612 lane 0.0576 budget 0.0113  145ms/step
[stage D] ep 1 step 2500/4366 loss 0.2375 det 0.1077 da 0.0611 lane 0.0576 budget 0.0111  145ms/step
[stage D] ep 1 step 2550/4366 loss 0.2373 det 0.1077 da 0.0611 lane 0.0576 budget 0.0109  145ms/step
[stage D] ep 1 step 2600/4366 loss 0.2370 det 0.1076 da 0.0611 lane 0.0576 budget 0.0107  145ms/step
[stage D] ep 1 step 2650/4366 loss 0.2367 det 0.1076 da 0.0610 lane 0.0576 budget 0.0105  145ms/step
[stage D] ep 1 step 2700/4366 loss 0.2365 det 0.1076 da 0.0610 lane 0.0576 budget 0.0103  145ms/step
[stage D] ep 1 step 2750/4366 loss 0.2362 det 0.1076 da 0.0610 lane 0.0575 budget 0.0101  145ms/step
[stage D] ep 1 step 2800/4366 loss 0.2361 det 0.1076 da 0.0610 lane 0.0576 budget 0.0099  145ms/step
[stage D] ep 1 step 2850/4366 loss 0.2359 det 0.1075 da 0.0610 lane 0.0576 budget 0.0098  145ms/step
[stage D] ep 1 step 2900/4366 loss 0.2357 det 0.1075 da 0.0610 lane 0.0576 budget 0.0096  145ms/step
[stage D] ep 1 step 2950/4366 loss 0.2356 det 0.1075 da 0.0610 lane 0.0576 budget 0.0094  145ms/step
[stage D] ep 1 step 3000/4366 loss 0.2354 det 0.1075 da 0.0610 lane 0.0576 budget 0.0093  145ms/step
[stage D] ep 1 step 3050/4366 loss 0.2353 det 0.1075 da 0.0610 lane 0.0576 budget 0.0092  145ms/step
[stage D] ep 1 step 3100/4366 loss 0.2351 det 0.1075 da 0.0610 lane 0.0576 budget 0.0090  145ms/step
[stage D] ep 1 step 3150/4366 loss 0.2350 det 0.1075 da 0.0610 lane 0.0576 budget 0.0089  145ms/step
[stage D] ep 1 step 3200/4366 loss 0.2348 det 0.1075 da 0.0610 lane 0.0576 budget 0.0088  145ms/step
